BID,RP_norm,RP_area_raw,SPLIT_SEQ,Area_Mult,RP_area_adjusted,RP_area_pctile,SolarAcMEAN,AspectMEANBID,aspect_north_factor,combined_solar,solar_risk,solar_push,RP_solar_only,SlopeMEAN50ft,slope_risk,slope_push,wetland_push,RP_final,RP_S_norm,RP_S_area_raw,RP_S_area_adjusted,RP_S_area_pctile,RP_S_final,CI,zone_count,water_type,SpringChinookRID,salmon_present,salmon_species,Fish_simple,SR_Zone,PADUS_Manager,Manager_Category,BFW,BFW_class,is_hmz,Priority_Tier,Zoning_Group,CITY_UGA,COUNTY_NM,temp_impaired,temp_impaired_cat,fecal_impaired,fecal_impaired_cat,sediment_impaired,sediment_impaired_cat,any_impaired,qc_poly_count,qc_dom_domain,qc_pct_D1,qc_mean_M,qc_mean_D,qc_mean_C,qc_mean_I,qc_mean_I_S
AC100_1,60.61,31241649.0,1,0.5,15620824.0,34.8,972.2,76.7,0.043,993.4,0.62,4.08,64.69,12.94,0.355,0.97,0.0,65.66,61.8,31882318.0,15941159.0,35.0,66.97,23.4,4,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Fall Chum; Pink (Odd Year); Sockeye; Dolly Varden / Bull Trout,fish,Lower SF Nooksack,,Private/Unknown,82.0,Mainstem,True,P1,Rural Residential,,Whatcom County,True,4A,False,,False,,True,14,D1_Forest,87.8,0.144,0.181,,0.086,0.061
AC100_3,71.71,35303806.0,3,1.25,44129757.0,65.5,972.2,269.8,-0.002,971.2,0.551,4.44,76.15,38.05,0.832,2.79,0.0,78.94,72.24,35566636.0,44458295.0,65.3,79.54,51.9,3,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Fall Chum; Pink (Odd Year); Sockeye; Dolly Varden / Bull Trout,fish,Lower SF Nooksack,,Private/Unknown,82.0,Mainstem,True,P1,Rural Residential,,Whatcom County,True,4A,False,,False,,True,11,D2_Shrub_Comp,2.0,0.184,0.319,,0.141,0.107
AC101_1,40.2,7626538.0,1,0.5,3813269.0,11.7,965.7,100.9,-0.17,883.6,0.314,1.26,41.46,47.28,0.91,1.52,0.0,42.98,41.67,7922579.0,3961290.0,11.9,44.58,5.3,4,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Fall Chum; Pink (Odd Year); Sockeye; Dolly Varden / Bull Trout,fish,Lower SF Nooksack,TRIB,Tribal,82.0,Mainstem,True,P1,Commercial Forest,,Whatcom County,True,4A,False,,False,,True,8,D1_Forest,100.0,0.293,0.176,0.338,0.265,0.233
AC101_2,51.03,100950729.0,2,1.0,100950729.0,86.6,965.7,327.5,0.049,989.5,0.609,3.26,54.29,10.41,0.263,0.59,0.0,54.88,52.51,103987454.0,103987454.0,87.0,56.49,49.1,5,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Fall Chum; Pink (Odd Year); Sockeye; Dolly Varden / Bull Trout,fish,Lower SF Nooksack,TRIB,Tribal,82.0,Mainstem,True,P1,Commercial Forest,,Whatcom County,True,4A,False,,False,,True,19,D1_Forest,99.1,0.199,0.084,,0.106,0.076
AC101_4,46.08,75940378.0,4,1.25,94925473.0,85.5,965.7,313.2,0.075,1001.8,0.646,3.06,49.14,26.98,0.681,1.34,0.0,50.48,47.53,78435991.0,98044989.0,85.8,52.1,44.7,5,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Fall Chum; Pink (Odd Year); Sockeye; Dolly Varden / Bull Trout,fish,Lower SF Nooksack,TRIB,Tribal,82.0,Mainstem,True,P1,Rural Residential,,Whatcom County,True,4A,False,,False,,True,37,D1_Forest,90.0,0.25,0.214,,0.165,0.137
AC102_1,38.7,28451196.0,1,0.5,14225598.0,32.5,972.7,83.6,0.1,1021.2,0.701,2.69,41.39,52.98,0.945,1.51,0.0,42.9,39.15,28845173.0,14422586.0,32.5,43.41,14.1,4,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Fall Chum; Pink (Odd Year); Sockeye; Dolly Varden / Bull Trout,fish,Lower SF Nooksack,TRIB,Tribal,112.0,Mainstem,True,P1,Commercial Forest,,Whatcom County,True,4A,False,,False,,True,10,D1_Forest,100.0,0.299,0.094,0.407,0.26,0.245
AC102_3,51.48,20950263.0,3,1.25,26187828.0,49.4,972.7,288.7,0.012,978.7,0.575,3.11,54.59,15.25,0.429,0.97,0.0,55.56,52.67,21419084.0,26773855.0,49.7,56.86,28.3,4,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Fall Chum; Pink (Odd Year); Sockeye; Dolly Varden / Bull Trout,fish,Lower SF Nooksack,TRIB,Tribal,112.0,Mainstem,True,P1,Commercial Forest,,Whatcom County,True,4A,False,,False,,True,7,D1_Forest,93.4,0.284,0.116,,0.123,0.1
AC103_1,34.1,107294559.0,1,0.5,53647279.0,71.3,1046.4,110.5,-0.149,968.2,0.542,1.79,35.89,45.35,0.896,1.23,0.0,37.12,33.75,105970161.0,52985080.0,70.7,36.73,26.0,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,"CITY, USFS",Federal,43.0,Large Stream,False,P2,Public/Open Space,,Skagit County,True,4A,False,,False,,True,26,D1_Forest,100.0,0.404,0.017,0.81,0.39,0.399
AC103_3,32.49,64001315.0,3,1.25,80001644.0,81.8,1046.4,223.0,-0.126,980.6,0.581,1.81,34.3,20.7,0.563,0.73,0.0,35.03,32.47,64159032.0,80198790.0,81.6,35.01,28.6,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,"CITY, USFS",Federal,43.0,Large Stream,False,P2,Public/Open Space,,Skagit County,True,4A,False,,False,,True,33,D1_Forest,99.9,0.376,0.09,,0.414,0.41
AC104_2,35.97,70507.0,2,1.0,70507.0,0.6,1034.0,246.4,-0.394,830.5,0.212,0.75,36.72,37.0,0.821,1.2,0.0,37.92,35.47,69526.0,69526.0,0.6,37.39,0.2,1,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P2,Public/Open Space,,Skagit County,True,4A,False,,False,,True,1,D1_Forest,100.0,0.269,0.022,0.814,0.346,0.355
AC105_1,32.68,491779.0,1,0.5,245890.0,1.9,1034.4,43.8,0.637,1363.8,0.994,3.12,35.8,43.95,0.886,1.16,0.0,36.96,31.35,471833.0,235916.0,1.9,35.42,0.7,2,river,N,True,Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,USFS,Federal,30.0,Medium Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,3,D1_Forest,100.0,0.524,0.016,0.723,0.406,0.43
AC105_3,41.04,597740.0,3,1.25,747175.0,4.0,1034.4,253.0,-0.078,994.1,0.622,2.56,43.6,17.44,0.489,0.84,0.0,44.44,39.95,584794.0,730992.0,3.9,43.24,1.7,2,river,N,True,Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,USFS,Federal,30.0,Medium Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,4,D1_Forest,74.9,0.4,0.241,,0.304,0.322
AC106_1,45.63,71512510.0,1,0.5,35756255.0,58.9,1065.9,147.3,-0.177,971.8,0.553,2.59,48.22,16.77,0.472,0.92,0.0,49.14,46.97,73566414.0,36783207.0,59.4,50.6,30.1,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P2,Public/Open Space,,Skagit County,True,4A,False,,False,,True,15,D1_Forest,99.9,0.188,0.026,,0.188,0.167
AC106_3,38.81,78520806.0,3,1.25,98151007.0,86.0,1065.9,295.0,0.3,1226.0,0.963,3.71,42.52,41.34,0.865,1.39,0.0,43.91,39.66,80260606.0,100325757.0,86.3,44.89,38.7,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P2,Public/Open Space,,Skagit County,True,4A,False,,False,,True,16,D1_Forest,99.4,0.269,0.194,,0.328,0.313
AC107_2,47.3,4936811.0,2,1.0,4936811.0,14.2,1027.3,328.9,0.51,1289.5,0.983,4.8,52.1,27.52,0.69,1.4,0.0,53.5,47.5,4960833.0,4960833.0,14.1,53.74,7.6,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,7,D1_Forest,72.8,0.21,0.255,,0.273,0.269
AC107_3,36.26,1092242.0,3,1.25,1365302.0,5.8,1027.3,188.3,-0.677,679.5,0.046,0.16,36.42,31.69,0.753,1.12,0.0,37.54,36.34,1094660.0,1368324.0,5.8,37.62,2.2,1,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,2,D1_Forest,100.0,0.16,0.035,0.908,0.341,0.339
AC108_1,34.29,1279585.0,1,0.5,639792.0,3.6,1057.6,144.2,-0.627,726.0,0.079,0.26,34.55,41.68,0.868,1.2,0.0,35.75,34.53,1285553.0,642777.0,3.6,36.0,1.3,2,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,6,D1_Forest,100.0,0.238,0.018,0.94,0.371,0.368
AC108_2,33.5,15697512.0,2,1.0,15697512.0,34.9,1057.6,139.6,-0.41,840.6,0.229,0.74,34.24,,0.5,0.67,0.0,34.91,34.16,16003225.0,16003225.0,35.1,35.61,12.5,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,14,D1_Forest,100.0,0.24,0.058,0.964,0.394,0.381
AC108_4,32.34,13980715.0,4,1.25,17475893.0,37.7,1057.6,300.1,0.2,1163.3,0.926,2.87,35.21,28.57,0.707,0.91,0.0,36.12,32.75,14162221.0,17702777.0,37.7,36.59,13.8,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,8,D1_Forest,100.0,0.33,0.028,0.957,0.413,0.405
AC109_1,34.29,32758735.0,1,0.5,16379367.0,36.0,1067.8,140.5,-0.229,945.5,0.475,1.58,35.87,32.94,0.771,1.07,0.0,36.94,34.01,32496041.0,16248021.0,35.5,36.63,13.0,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,16,D1_Forest,100.0,0.311,0.009,0.913,0.386,0.391
AC109_3,33.88,127064.0,3,1.25,158830.0,1.4,1067.8,255.1,-0.219,951.1,0.49,1.61,35.49,16.93,0.476,0.65,0.0,36.14,33.56,125843.0,157304.0,1.4,35.79,0.5,1,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,1,D1_Forest,100.0,0.343,0.089,0.776,0.384,0.39
AC109_4,31.74,10170330.0,4,1.25,12712913.0,29.7,1067.8,252.1,-0.099,1014.7,0.683,2.07,33.81,17.88,0.499,0.63,0.0,34.44,31.95,10212123.0,12765154.0,29.5,34.67,10.2,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,8,D1_Forest,100.0,0.374,0.043,0.92,0.422,0.419
AC110_1,32.02,50811953.0,1,0.5,25405977.0,48.4,1053.9,143.2,-0.402,842.2,0.232,0.71,32.73,34.96,0.796,1.02,0.0,33.75,32.11,50938291.0,25469145.0,48.1,33.84,16.3,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,25,D1_Forest,100.0,0.378,0.067,0.916,0.431,0.43
AC110_3,37.05,87248295.0,3,1.25,109060369.0,88.1,1053.9,298.7,0.318,1221.4,0.961,3.5,40.55,40.68,0.859,1.3,0.0,41.85,37.12,87352991.0,109191239.0,87.9,41.94,36.9,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,23,D1_Forest,71.2,0.371,0.3,0.895,0.503,0.504
AC111_1,35.09,55789.0,1,0.5,27895.0,0.2,1074.7,144.2,-0.797,646.6,0.028,0.1,35.19,31.91,0.756,1.08,0.0,36.27,35.91,57099.0,28549.0,0.2,37.12,0.1,1,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,2,D1_Forest,100.0,0.308,0.021,0.823,0.362,0.347
AC111_2,36.02,31683440.0,2,1.0,31683440.0,55.2,1074.7,116.0,-0.124,1007.8,0.663,2.34,38.36,28.11,0.699,1.03,0.0,39.39,36.68,32356389.0,32356389.0,55.5,40.12,22.3,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,15,D1_Forest,100.0,0.306,0.015,0.764,0.342,0.329
AC111_4,30.26,55703129.0,4,1.25,69628912.0,78.3,1074.7,267.8,-0.027,1060.2,0.791,2.26,32.52,61.8,0.981,1.17,0.0,33.69,30.28,56007899.0,70009874.0,78.1,33.71,26.3,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,20,D1_Forest,99.5,0.411,0.17,0.939,0.485,0.48
AC112_1,31.46,90300.0,1,0.5,45150.0,0.4,1073.5,133.2,-0.653,722.8,0.076,0.23,31.69,50.0,0.928,1.16,0.0,32.85,31.83,91365.0,45682.0,0.4,33.24,0.1,1,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,2,D1_Forest,100.0,0.37,0.004,0.99,0.428,0.421
AC112_2,31.95,10212653.0,2,1.0,10212653.0,25.0,1073.5,137.0,-0.278,924.4,0.414,1.26,33.21,41.89,0.87,1.11,0.0,34.32,32.42,10362576.0,10362576.0,25.2,34.83,8.8,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,6,D1_Forest,100.0,0.336,0.026,0.974,0.419,0.411
AC112_4,35.21,16973846.0,4,1.25,21217308.0,43.1,1073.5,270.7,0.005,1076.3,0.82,2.81,38.02,26.71,0.677,0.97,0.0,38.99,34.39,16653518.0,20816897.0,42.3,38.06,16.1,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,12,D1_Forest,100.0,0.336,0.023,0.751,0.351,0.36
AC113_1,34.09,76017.0,1,0.5,38009.0,0.3,1072.1,152.9,-0.873,603.9,0.015,0.05,34.14,37.69,0.829,1.14,0.0,35.28,33.69,75139.0,37569.0,0.3,34.86,0.1,1,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,1,D1_Forest,100.0,0.311,0.001,0.903,0.38,0.387
AC113_2,33.93,45435065.0,2,1.0,45435065.0,66.4,1072.1,152.8,-0.289,917.0,0.394,1.29,35.22,28.43,0.704,0.96,0.0,36.18,33.64,45089448.0,45089448.0,65.8,35.87,23.6,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,15,D1_Forest,100.0,0.307,0.029,0.899,0.388,0.391
AC113_3,41.71,833834.0,3,1.25,1042292.0,4.8,1072.1,323.0,0.458,1317.4,0.989,4.15,45.86,23.68,0.623,1.09,0.0,46.95,44.56,890799.0,1113499.0,5.1,50.24,2.6,1,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,1,D1_Forest,100.0,0.24,0.298,0.177,0.242,0.19
AC113_5,41.81,44003230.0,5,1.25,55004038.0,72.0,1072.1,234.0,-0.142,996.0,0.628,2.65,44.46,22.62,0.603,1.06,0.0,45.52,41.86,44012215.0,55015269.0,71.7,45.57,32.7,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,24,D1_Forest,79.7,0.351,0.141,0.638,0.363,0.365
AC114_2,29.64,451930.0,2,1.0,451930.0,2.9,1010.8,297.9,0.283,1153.8,0.918,2.56,32.2,29.72,0.725,0.84,0.0,33.04,29.3,446750.0,446750.0,2.9,32.66,0.9,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,3,D1_Forest,100.0,0.482,0.021,0.95,0.461,0.467
AC114_3,41.23,609805.0,3,1.25,762256.0,4.1,1010.8,199.6,-0.696,659.1,0.035,0.14,41.37,15.78,0.445,0.77,0.0,42.14,43.95,650070.0,812588.0,4.2,44.93,1.9,1,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,46.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,2,D1_Forest,100.0,0.25,0.287,0.208,0.25,0.201
AC115_1,32.79,22032277.0,1,0.5,11016139.0,26.6,1036.2,163.6,-0.398,829.8,0.21,0.66,33.45,33.61,0.78,1.02,0.0,34.47,32.48,21844353.0,10922176.0,26.3,34.15,9.0,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,49.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,16,D1_Forest,100.0,0.372,0.011,0.926,0.412,0.416
AC115_3,33.77,32045766.0,3,1.25,40057208.0,62.6,1036.2,312.8,0.37,1227.9,0.964,3.14,36.91,32.49,0.765,1.04,0.0,37.95,33.15,31545047.0,39431309.0,61.7,37.24,23.0,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,49.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,12,D1_Forest,100.0,0.406,0.048,0.822,0.406,0.413
AC116_1,36.47,52852622.0,1,0.5,26426311.0,49.6,1063.1,31.9,0.515,1336.8,0.992,3.55,40.02,27.21,0.685,1.02,0.0,41.04,36.39,52579368.0,26289684.0,49.2,40.95,20.1,3,river,N,True,Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,USFS,Federal,33.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,18,D1_Forest,99.4,0.516,0.07,,0.385,0.392
AC116_2,34.21,39979941.0,2,1.0,39979941.0,62.5,1063.1,188.9,-0.3,903.8,0.36,1.19,35.4,25.84,0.662,0.91,0.0,36.31,34.27,39994935.0,39994935.0,62.2,36.38,22.6,3,river,N,True,Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,USFS,Federal,33.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,24,D1_Forest,99.6,0.453,0.095,,0.414,0.415
AC116_4,42.94,8085708.0,4,1.25,10107134.0,24.9,1063.1,206.0,-0.303,902.3,0.357,1.55,44.49,15.21,0.428,0.78,0.0,45.27,44.08,8348902.0,10436127.0,25.3,46.48,11.8,3,river,N,True,Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,USFS,Federal,33.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,6,D1_Forest,100.0,0.374,0.051,0.168,0.199,0.176
AC117_1,26.41,760923.0,1,0.5,380461.0,2.6,1041.4,111.0,-0.3,885.0,0.317,0.77,27.18,30.63,0.738,0.75,0.0,27.93,25.39,731654.0,365827.0,2.5,26.84,0.7,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,49.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,3,D1_Forest,100.0,0.658,0.002,0.963,0.52,0.538
AC117_3,35.62,25349451.0,3,1.25,31686814.0,55.2,1041.4,220.2,-0.191,942.1,0.465,1.62,37.24,13.26,0.366,0.53,0.0,37.77,35.18,25034940.0,31293674.0,54.5,37.3,20.3,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,49.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,10,D1_Forest,100.0,0.307,0.037,0.793,0.358,0.366
AC117_4,32.39,43056641.0,4,1.25,53820801.0,71.4,1041.4,335.4,0.396,1247.6,0.971,3.01,35.4,33.31,0.776,1.0,0.0,36.4,32.15,42787253.0,53484066.0,70.9,36.13,25.6,3,river,N,True,Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,49.0,Large Stream,False,P3,Public/Open Space,,Skagit County,False,,False,,False,,False,13,D1_Forest,100.0,0.389,0.112,0.845,0.429,0.431
AC118_1,26.78,9919997.0,1,0.5,4959999.0,14.2,980.9,154.7,-0.673,650.7,0.03,0.07,26.85,40.3,0.855,0.88,0.0,27.73,25.7,9529909.0,4764955.0,13.7,26.61,3.6,3,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,49.0,Large Stream,False,P2,Public/Open Space,,Skagit County,False,,False,,False,,False,9,D1_Forest,100.0,0.632,0.011,0.95,0.51,0.528
AC118_3,31.97,10690860.0,3,1.25,13363575.0,30.9,980.9,310.2,0.265,1110.8,0.872,2.66,34.63,36.78,0.819,1.04,0.0,35.67,32.22,10771975.0,13464969.0,30.8,35.96,11.1,3,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,49.0,Large Stream,False,P2,Public/Open Space,,Skagit County,False,,False,,False,,False,7,D1_Forest,100.0,0.37,0.144,0.898,0.449,0.443
AC119_1,34.26,970635.0,1,0.5,485317.0,3.1,980.5,166.2,-0.796,590.4,0.012,0.04,34.3,24.29,0.635,0.88,0.0,35.18,34.2,969135.0,484567.0,3.0,35.12,1.1,3,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Sockeye; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,49.0,Large Stream,True,P1,Public/Open Space,,Skagit County,True,2,False,,False,,True,4,D1_Forest,100.0,0.276,0.019,0.914,0.377,0.378
AC119_3,43.08,264969328.0,3,1.25,331211660.0,98.8,980.5,161.8,-0.685,644.8,0.028,0.12,43.2,54.9,0.955,1.74,0.0,44.94,42.64,262352629.0,327940786.0,98.7,44.48,43.9,4,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Sockeye; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,"CITY, SDNR",State,49.0,Large Stream,True,P1,Public/Open Space,,Skagit County,True,2,False,,False,,True,74,D1_Forest,77.4,0.378,0.2,,0.343,0.35
AC119_4,31.9,194370155.0,4,1.25,242962694.0,97.4,980.5,307.8,0.307,1130.9,0.895,2.73,34.63,,0.5,0.63,0.0,35.26,31.94,194332857.0,242916072.0,97.4,35.31,34.4,4,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Sockeye; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,"CITY, SDNR",State,49.0,Large Stream,True,P1,Public/Open Space,,Skagit County,True,2,False,,False,,True,55,D1_Forest,100.0,0.419,0.022,0.85,0.409,0.41
AC120_2,32.14,68638639.0,2,1.0,68638639.0,77.9,1025.0,180.2,-0.515,760.9,0.116,0.36,32.5,,0.5,0.64,0.0,33.14,32.32,69104513.0,69104513.0,77.8,33.32,25.9,4,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Sockeye; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,49.0,Large Stream,True,P1,Public/Open Space,,Skagit County,True,2,False,,False,,True,25,D1_Forest,100.0,0.371,0.072,0.941,0.437,0.432
AC120_3,33.31,33681554.0,3,1.25,42101942.0,64.1,1025.0,307.4,0.176,1114.9,0.878,2.82,36.13,31.09,0.745,1.0,0.0,37.13,33.41,33809467.0,42261833.0,63.8,37.24,23.8,3,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Sockeye; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,49.0,Large Stream,True,P1,Public/Open Space,,Skagit County,True,2,False,,False,,True,18,D1_Forest,100.0,0.308,0.133,0.782,0.389,0.387
AC121_1,32.86,1111926.0,1,0.5,555963.0,3.3,1008.0,208.4,-0.336,838.7,0.226,0.71,33.57,22.45,0.6,0.79,0.0,34.36,32.75,1108076.0,554038.0,3.3,34.25,1.1,3,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Sockeye; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,49.0,Large Stream,True,P1,Public/Open Space,,Skagit County,True,2,False,,False,,True,3,D1_Forest,100.0,0.338,0.031,0.912,0.403,0.405
AC121_2,34.82,10043356.0,2,1.0,10043356.0,24.7,1008.0,335.9,0.308,1163.2,0.926,3.13,37.95,45.06,0.894,1.26,0.0,39.21,34.38,9907545.0,9907545.0,24.3,38.71,9.4,3,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Sockeye; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,CITY,Local,49.0,Large Stream,True,P1,Public/Open Space,,Skagit County,True,2,False,,False,,True,11,D1_Forest,100.0,0.362,0.006,0.794,0.367,0.378
