BID,RP_norm,RP_area_raw,SPLIT_SEQ,Area_Mult,RP_area_adjusted,RP_area_pctile,SolarAcMEAN,AspectMEANBID,aspect_north_factor,combined_solar,solar_risk,solar_push,RP_solar_only,SlopeMEAN50ft,slope_risk,slope_push,wetland_push,RP_final,RP_S_norm,RP_S_area_raw,RP_S_area_adjusted,RP_S_area_pctile,RP_S_final,CI,zone_count,water_type,SpringChinookRID,salmon_present,salmon_species,Fish_simple,SR_Zone,PADUS_Manager,Manager_Category,BFW,BFW_class,is_hmz,Priority_Tier,Zoning_Group,CITY_UGA,COUNTY_NM,temp_impaired,temp_impaired_cat,fecal_impaired,fecal_impaired_cat,sediment_impaired,sediment_impaired_cat,any_impaired,qc_poly_count,qc_dom_domain,qc_pct_D1,qc_mean_M,qc_mean_D,qc_mean_C,qc_mean_I,qc_mean_I_S
AC464_2,28.64,90282248.0,2,1.0,90282248.0,84.4,1034.2,223.1,-0.042,1012.7,0.677,1.81,30.45,25.25,0.653,0.73,0.0,31.18,28.75,90284405.0,90284405.0,84.2,31.3,26.4,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,43.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,41,D1_Forest,100.0,0.64,0.099,0.861,0.517,0.52
AC464_4,39.23,99236229.0,4,1.25,124045286.0,90.2,1034.2,269.2,-0.001,1033.9,0.734,2.87,42.1,,0.5,0.81,0.0,42.91,38.78,98200981.0,122751227.0,89.9,42.41,38.1,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,43.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,40,D1_Forest,55.1,0.607,0.366,0.79,0.577,0.587
AC465_1,35.01,4964791.0,1,0.5,2482396.0,8.7,1075.0,180.9,-0.15,994.1,0.622,2.12,37.13,14.22,0.397,0.56,0.0,37.69,36.56,5185417.0,2592708.0,8.8,39.38,3.5,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,43.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,9,D1_Forest,97.4,0.478,0.305,,0.394,0.367
AC465_3,27.14,3982849.0,3,1.25,4978562.0,14.3,1075.0,264.6,-0.019,1064.6,0.8,2.01,29.15,22.34,0.597,0.62,0.0,29.77,26.13,3835694.0,4794618.0,13.8,28.64,4.0,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,43.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,3,D1_Forest,100.0,0.624,0.023,0.934,0.507,0.525
AC466_1,29.11,2390984.0,1,0.5,1195492.0,5.3,1045.5,63.6,0.242,1172.3,0.933,2.55,31.66,13.44,0.372,0.42,0.0,32.08,28.13,2309775.0,1154888.0,5.2,30.98,1.6,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,7,D1_Forest,100.0,0.599,0.048,0.88,0.491,0.509
AC466_3,38.54,29523335.0,3,1.25,36904169.0,59.9,1045.5,254.2,-0.022,1033.8,0.734,2.81,41.35,15.13,0.425,0.68,0.0,42.03,39.24,30013230.0,37516537.0,60.0,42.8,25.7,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,13,D1_Forest,91.2,0.51,0.183,,0.433,0.424
AC466_4,30.31,25150405.0,4,1.25,31438006.0,55.0,1045.5,5.9,0.188,1143.8,0.909,2.6,32.91,25.81,0.662,0.79,0.0,33.7,29.58,24514878.0,30643597.0,53.8,32.88,17.7,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,13,D1_Forest,100.0,0.572,0.047,0.812,0.46,0.474
AC467_1,26.29,3561048.0,1,0.5,1780524.0,6.9,1047.9,66.5,0.233,1169.8,0.931,2.25,28.54,23.16,0.615,0.62,0.0,29.16,25.29,3425431.0,1712716.0,6.7,28.03,1.9,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,4,D1_Forest,100.0,0.652,0.045,0.926,0.522,0.54
AC467_3,25.44,1198548.0,3,1.25,1498186.0,6.1,1047.9,209.5,-0.08,1005.8,0.658,1.53,26.97,23.14,0.614,0.59,0.0,27.56,25.24,1189658.0,1487073.0,6.1,27.34,1.7,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,5,D1_Forest,100.0,0.628,0.065,0.982,0.537,0.541
AC468_1,29.67,32789821.0,1,0.5,16394910.0,36.0,1014.2,54.8,0.047,1038.0,0.744,2.08,31.75,,0.5,0.58,0.0,32.33,28.42,31366251.0,15683125.0,34.6,30.95,10.7,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,19,D1_Forest,96.9,0.692,0.046,,0.518,0.541
AC468_3,25.8,30917180.0,3,1.25,38646475.0,61.4,1014.2,293.4,0.045,1037.0,0.742,1.75,27.55,21.53,0.582,0.57,0.0,28.12,25.52,30584476.0,38230595.0,60.7,27.81,16.9,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,10,D1_Forest,100.0,0.647,0.06,0.984,0.542,0.547
AC469_1,31.78,14695653.0,1,0.5,7347826.0,19.5,985.8,8.7,0.08,1025.2,0.712,2.16,33.94,11.22,0.294,0.37,0.0,34.31,31.42,14535503.0,7267751.0,19.1,33.92,6.5,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,9,D1_Forest,95.1,0.581,0.126,,0.506,0.511
AC469_3,20.08,6383786.0,3,1.25,7979732.0,20.7,985.8,250.7,-0.062,955.2,0.503,0.88,20.96,28.08,0.698,0.51,0.0,21.47,19.67,6248860.0,7811075.0,20.3,21.02,4.3,3,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,13,D1_Forest,100.0,0.756,0.204,0.987,0.632,0.639
AC469_4,27.3,65530.0,4,1.25,81912.0,0.7,985.8,236.4,-0.518,730.7,0.083,0.21,27.51,42.81,0.877,0.92,0.0,28.43,26.34,63206.0,79008.0,0.7,27.43,0.2,1,river,N,True,Dolly Varden / Bull Trout,fish,Upper NF Nooksack,USFS,Federal,46.0,Large Stream,False,P3,Federal Forest,,Whatcom County,False,,False,,False,,False,1,D1_Forest,100.0,0.617,0.003,0.955,0.504,0.521
AC46_1,43.49,7021804.0,1,0.5,3510902.0,11.0,988.9,6.8,0.143,1059.6,0.79,3.49,46.98,29.16,0.716,1.32,0.0,48.3,44.97,7235490.0,3617745.0,11.2,49.98,5.6,4,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Fall Chum; Pink (Odd Year); Sockeye; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,SDNR,State,66.0,Mainstem,True,P2,Commercial Forest,,Skagit County,False,,False,,False,,False,6,D1_Forest,100.0,0.468,0.012,0.136,0.209,0.192
AC46_3,46.26,3761786.0,3,1.25,4702233.0,13.7,988.9,228.7,-0.171,904.5,0.362,1.72,47.98,33.82,0.782,1.55,0.0,49.53,48.05,3906966.0,4883707.0,14.0,51.47,7.2,2,river,Y,True,Spring Chinook; Coho; Summer Steelhead; Winter Steelhead; Fall Chum; Pink (Odd Year); Sockeye; Dolly Varden / Bull Trout,fish,Upper SF Nooksack,SDNR,State,66.0,Mainstem,True,P2,Commercial Forest,,Skagit County,False,,False,,False,,False,4,D1_Forest,100.0,0.329,0.01,0.137,0.16,0.127
