BID,asp,af
T7949_1,269.3,-0.005
T7958_1,357.7,0.122
T7971_1,130.5,-0.144
T7927_2,281.3,0.054
T8020_2,327.2,0.069
T8020_1,176.1,-0.031
T7950_1,61.7,0.405
T8023_2,272.1,0.001
T8023_1,57.6,0.018
T8021_2,348.8,0.05
T2291_2,247.9,-0.081
T8026_2,263.8,-0.001
T8026_1,103.2,-0.01
T8025_1,114.8,-0.022
T8024_1,40.5,0.027
T7972_1,152.5,-0.568
T7971_2,199.1,-0.311
T8032_2,345.2,0.074
T2422_2,219.1,-0.24
T2422_1,132.4,-0.162
T2373_2,202.6,-0.283
T7936_2,347.7,0.558
T7979_2,194.4,-0.369
T2305_1,116.3,-0.029
O11_3,182.1,-0.252
T8002_1,253.3,-0.064
T2276_2,294.6,0.161
T7973_1,31.3,0.638
T7970_2,280.5,0.145
T7965_2,342.2,0.425
T7917_1,16.9,0.385
T17193_1,336.8,0.025
T16939_1,145.7,-0.511
T8029_1,92.0,-0.002
L137_1,180.4,-0.356
T8029_2,91.7,-0.001
T7970_1,229.1,-0.382
T8014_1,157.2,-0.067
T8014_2,212.6,-0.024
T2377_2,330.9,0.125
T7973_2,296.8,0.261
T16936_2,245.4,-0.357
T7965_1,354.9,0.375
T2313_2,327.5,0.508
T8030_1,357.5,0.048
T2307_1,225.6,-0.437
T17081_1,93.3,-0.002
T17081_2,280.9,0.019
T7993_1,89.8,0.001
T16938_1,156.7,-0.652
T2284_2,2.3,0.04
T7990_1,334.7,0.492
T7950_2,198.9,-0.76
T2282_1,78.0,0.015
T2282_2,318.6,0.025
T2310_2,247.1,-0.263
T17466_2,284.6,0.143
T2409_2,335.0,0.566
T7955_2,300.5,0.028
T17172_2,239.3,-0.402
T7989_1,210.3,-0.36
T8006_2,178.9,-0.544
T8005_1,117.1,-0.288
T2286_1,314.6,0.371
T2343_2,301.0,0.124
T2314_1,147.8,-0.247
T8006_1,156.4,-0.253
T7964_2,323.4,0.296
T7984_1,45.5,0.442
T2285_2,357.6,0.047
T7964_1,76.7,0.057
T7990_2,293.6,0.142
T7947_2,353.9,0.495
T2261_2,279.5,0.047
T7947_1,19.7,0.466
AC406_2,26.7,0.18
T17466_1,144.9,-0.479
T7996_1,298.6,0.027
T8039_2,84.4,0.002
T7980_2,193.6,-0.2
T8016_1,101.2,-0.065
T8009_1,17.2,0.208
L140_1,66.2,0.338
T17476_2,165.0,-0.355
T2313_1,141.6,-0.232
L138_1,120.6,-0.057
T8003_1,82.7,0.002
T8025_2,156.5,-0.141
T7999_2,280.0,0.104
T7963_2,200.6,-0.111
T8003_2,256.0,-0.013
T8018_1,120.8,-0.105
T8019_2,282.5,0.082
T8010_1,343.1,0.308
L139_2,353.2,0.059
T8015_2,313.5,0.282
T8015_1,90.3,-0.001
T8016_2,188.1,-0.384
T7871_1,32.9,0.187
AC406_7,323.8,0.226
T8002_2,229.4,-0.112
T8027_1,300.4,0.271
T8032_1,175.9,-0.212
T8007_1,125.4,-0.207
T7933_1,37.8,0.478
T7933_2,273.7,0.023
L140_2,116.8,-0.011
L139_3,288.9,0.199
T8022_1,117.8,-0.106
T8024_2,171.8,-0.21
T8021_1,169.5,-0.189
T8004_1,214.1,-0.054
T2377_1,141.2,-0.161
T7993_2,190.1,-0.607
T7871_2,288.7,0.088
L139_1,146.6,-0.348
L141_3,297.2,0.331
T8028_1,163.9,-0.315
T8028_2,223.6,-0.226
T16935_1,39.6,0.7
T7951_2,24.2,0.677
T7985_2,315.0,0.52
T7985_1,324.4,0.576
T8004_2,115.5,-0.021
O13_4,278.7,0.017
T8053_2,256.3,-0.006
T8033_1,66.1,0.153
T7997_2,339.5,0.845
T7998_2,313.3,0.466
T8001_1,153.6,-0.24
L141_2,306.5,0.18
T2343_1,153.6,-0.185
T8001_2,221.1,-0.251
O13_2,226.5,-0.086
T8019_1,118.0,-0.305
T2372_2,229.0,-0.124
T2372_1,152.9,-0.256
T7917_2,16.5,0.287
T8053_1,82.5,0.007
T2284_1,5.3,0.113
T7951_1,43.0,0.628
T7936_1,178.9,-0.678
T8052_2,236.7,-0.194
T8052_1,92.2,-0.003
T2261_1,63.2,0.305
T2310_1,248.1,-0.256
T2276_1,209.9,-0.29
T8034_2,182.3,-0.324
T8034_1,177.9,-0.152
T16935_2,238.0,-0.449
T7984_2,351.3,0.007
T8045_1,156.5,-0.222
T17462_2,275.3,0.065
L138_2,196.0,-0.097
T17462_1,142.9,-0.415
T8045_2,221.7,-0.064
T8074_2,315.4,0.2
T8011_1,108.9,-0.076
T8011_2,194.8,-0.343
T8042_2,194.1,-0.446
T8012_2,248.7,-0.175
T8076_2,267.1,-0.009
T8030_2,210.3,-0.075
T8010_2,254.2,-0.025
T8012_1,171.0,-0.59
AC406_1,43.3,0.131
T2409_1,176.2,-0.451
L140_3,299.2,0.302
T2285_1,13.8,0.018
T8042_1,161.0,-0.5
T8027_2,227.7,-0.15
T8039_1,126.5,-0.056
T8031_2,347.3,0.355
T7966_1,31.5,0.274
T7966_2,354.8,0.386
T7999_1,267.5,-0.025
T8074_1,194.6,-0.326
T8037_1,157.5,-0.456
T8022_2,133.7,-0.181
T8037_2,266.4,-0.02
T8067_2,213.7,-0.327
T8067_1,48.2,0.129
AC406_6,5.9,0.315
T7986_2,277.7,0.052
L142_2,269.9,-0.0
T8061_2,275.8,0.06
T8061_1,121.4,-0.298
O13_3,164.6,-0.042
L142_1,45.5,0.268
L143_1,333.2,0.265
T14762_1,121.5,-0.189
T14762_2,300.9,0.158
T8094_2,314.2,0.182
T8093_1,341.4,0.281
T8057_1,99.1,-0.063
T8033_2,158.8,-0.418
T7992_2,190.9,-0.377
T8035_2,324.3,0.114
T8062_2,123.5,-0.166
L141_1,302.2,0.219
L143_2,152.8,-0.039
T8063_2,278.2,0.089
T8086_2,292.4,0.019
T8086_1,184.7,-0.047
T7997_1,243.9,-0.321
T7988_2,277.3,0.095
T7994_2,314.0,0.431
T15624_1,38.2,0.488
T7998_1,272.5,0.031
T7994_1,49.5,0.546
T8043_2,183.7,-0.305
T7988_1,209.5,-0.52
T8040_2,256.3,-0.078
L142_3,273.3,0.033
T8063_1,129.4,-0.139
T7992_1,164.5,-0.298
T8048_1,351.8,0.057
T8048_2,266.7,-0.019
T8093_2,201.6,-0.397
T7928_2,343.7,0.284
T7969_1,358.2,0.259
T2295_1,289.8,0.048
L144_1,118.9,-0.351
T8040_1,218.9,-0.29
T8059_2,157.2,-0.193
T8050_1,324.1,0.225
L144_2,320.3,0.075
T8071_1,285.0,0.162
T8031_1,41.7,0.265
T8083_2,254.9,-0.111
T7928_1,21.6,0.309
T2294_1,17.6,0.211
L145_3,342.3,0.411
T17483_1,28.6,0.734
T8075_2,308.1,0.505
T8077_2,287.5,0.078
T17483_2,186.8,-0.318
T8062_1,124.8,-0.114
T8057_2,140.1,-0.309
T8094_1,175.0,-0.313
T2408_2,322.9,0.464
T8043_1,179.2,-0.481
T8038_1,345.8,0.27
T8050_2,250.9,-0.083
T8087_1,206.3,-0.597
T8087_2,188.0,-0.323
T8103_2,294.7,0.142
T8076_1,225.8,-0.056
T8083_1,141.1,-0.39
T8084_1,358.9,0.188
T8090_1,318.5,0.074
T8035_1,238.2,-0.108
L145_2,107.3,-0.016
T7986_1,270.1,0.001
L146_1,216.2,-0.079
L144_3,256.0,-0.062
T8060_1,101.1,-0.079
T8044_1,323.4,0.204
T8000_1,334.8,0.333
T8049_2,328.4,0.302
T8008_1,29.1,0.261
AC237_1,85.0,0.053
T8059_1,191.2,-0.164
T2294_2,292.5,0.062
T8044_2,35.5,0.119
T8036_2,357.4,0.827
T7953_1,21.6,0.635
L147_2,86.0,0.005
T8036_1,23.4,0.611
T8080_1,344.2,0.487
T8056_2,297.8,0.167
T8079_2,178.7,-0.237
T8079_1,156.4,-0.082
T8056_1,4.4,0.359
T8092_1,110.7,-0.214
T8084_2,253.5,-0.128
L147_1,340.9,0.008
T8060_2,146.3,-0.262
T8065_1,328.6,0.202
T2309_1,61.9,0.087
T8070_2,303.0,0.228
T7969_2,325.6,0.199
T8038_2,245.8,-0.101
L148_1,170.4,-0.117
AC253_2,39.0,0.287
T8080_2,236.0,-0.451
T8049_1,55.4,0.071
T8072_1,6.1,0.229
T8089_2,288.5,0.053
L143_3,291.7,0.115
T2309_2,248.1,-0.058
T8008_2,312.2,0.251
T15624_2,249.9,-0.281
T17481_1,67.6,0.236
T7923_2,240.2,-0.396
T8041_1,269.8,-0.003
T8070_1,152.6,-0.148
T7923_1,347.0,0.528
L148_2,223.9,-0.066
T8064_2,21.8,0.124
T8123_2,164.0,-0.033
T8071_2,247.9,-0.246
T8077_1,200.9,-0.232
T8064_1,43.1,0.119
L149_2,288.4,0.011
T8075_1,212.4,-0.629
T17078_2,318.6,0.325
T8097_2,92.8,-0.012
T8125_2,315.2,0.013
T8065_2,265.3,-0.017
T17078_1,171.9,-0.118
L149_3,285.0,0.162
T15626_1,24.1,0.777
T8098_1,157.8,-0.229
T2295_2,187.6,-0.104
T8098_2,134.5,-0.285
T2324_2,302.0,0.434
T14763_2,287.0,0.132
T8081_2,234.9,-0.187
T8081_1,277.8,0.02
L150_1,299.6,0.016
T8055_1,284.0,0.127
T2408_1,159.8,-0.548
T8101_2,274.6,0.054
T8103_1,156.2,-0.128
T2334_1,175.3,-0.287
T8114_2,218.0,-0.314
T2334_2,311.0,0.178
T8089_1,284.3,0.051
T16916_1,96.8,-0.095
T16916_2,241.0,-0.3
T8132_2,333.7,0.019
T8132_1,143.4,-0.039
T8069_2,45.4,0.469
T8114_1,190.4,-0.552
AC408_1,55.9,0.161
T8058_1,279.2,0.123
T8054_2,267.1,-0.04
T8054_1,47.4,0.493
T2407_2,307.9,0.384
T8104_1,304.3,0.214
T2326_2,87.4,0.03
T17481_2,221.4,-0.502
T8090_2,189.0,-0.23
T8088_2,273.6,0.016
T2365_2,347.7,0.322
L145_1,176.7,-0.413
T8088_1,187.4,-0.084
L146_2,60.6,0.067
T8000_2,246.0,-0.018
L151_3,315.4,0.183
T8092_2,165.2,-0.347
T8102_2,308.8,0.103
T2324_1,267.2,-0.03
L151_2,96.2,-0.005
AC237_4,203.1,-0.119
AC253_4,265.6,-0.014
T15626_2,240.1,-0.361
T8108_2,230.8,-0.131
T7953_2,354.6,0.453
AC408_2,356.6,0.225
T14763_1,120.4,-0.303
T2327_2,284.6,0.046
T2327_1,159.6,-0.186
AC226_4,241.2,-0.036
T8085_2,263.2,-0.077
T8085_1,350.8,0.235
T8101_1,256.1,-0.051
T8041_2,257.3,-0.193
AC253_3,349.5,0.572
T8017_1,278.7,0.072
T8105_2,291.5,0.148
AC253_1,242.0,-0.467
L149_1,153.6,-0.404
T8017_2,256.2,-0.133
T8128_2,261.7,-0.093
T2329_1,356.0,0.23
T8128_1,238.0,-0.3
T2329_2,203.5,-0.392
T8122_1,102.5,-0.079
T8072_2,1.1,0.26
T8104_2,252.1,-0.055
T8097_1,129.1,-0.391
T8073_1,329.9,0.181
AC406_5,336.6,0.263
T8120_2,46.1,0.378
T2407_1,149.6,-0.565
T8047_2,317.6,0.493
T8047_1,51.9,0.159
T2341_2,283.9,0.058
T8125_1,126.6,-0.127
T2333_1,4.3,0.295
T16918_1,144.3,-0.468
T8153_2,263.5,-0.011
T8120_1,77.8,0.091
T8113_1,104.7,-0.097
T8123_1,70.2,0.018
T2322_1,56.4,0.515
T8108_1,216.9,-0.261
L151_1,161.0,-0.337
AC406_4,343.0,0.18
T16918_2,255.7,-0.212
T8111_1,356.0,0.025
T8115_2,171.8,-0.155
T8058_2,273.9,0.057
T2406_2,311.6,0.396
T8145_1,37.1,0.305
AC237_6,251.8,-0.021
AC237_2,159.8,-0.092
T8153_1,139.2,-0.03
T8113_2,247.9,-0.071
T8051_1,39.0,0.241
T8055_2,234.3,-0.462
T8100_2,45.4,0.26
T8100_1,92.3,-0.017
T2326_1,94.9,-0.063
T8138_1,118.8,-0.203
T8115_1,152.3,-0.132
L150_2,276.5,0.045
T8069_1,100.7,-0.147
T8102_1,231.6,-0.131
T8105_1,259.3,-0.072
T2341_1,133.1,-0.154
T8143_1,79.7,0.12
T8096_1,95.9,-0.088
T8136_1,120.7,-0.178
T8139_1,79.0,0.078
T2597_2,254.4,-0.1
T8144_1,70.1,0.178
T2365_1,178.0,-0.556
T8078_1,33.9,0.071
T8078_2,301.0,0.028
T8170_2,1.3,0.066
T8144_2,138.0,-0.488
T2406_1,139.1,-0.626
T8147_1,172.8,-0.063
T8139_2,241.7,-0.079
T8143_2,148.4,-0.593
T2322_2,289.4,0.213
L152_2,71.4,0.039
T8073_2,222.6,-0.373
T8096_2,116.7,-0.278
T8147_2,245.7,-0.202
T8116_1,4.2,0.27
T8119_2,297.9,0.106
T14772_2,264.3,-0.035
AC406_8,238.8,-0.257
T8068_1,23.9,0.668
T16934_2,258.2,-0.164
T8129_2,311.6,0.151
AC237_3,235.9,-0.052
T8117_2,38.9,0.254
T2339_2,295.4,0.125
T8152_1,291.0,0.159
T8145_2,168.3,-0.217
T8122_2,132.2,-0.198
T8138_2,235.3,-0.06
T2338_1,351.3,0.357
T2340_1,127.9,-0.173
T8151_1,317.7,0.519
T2340_2,284.1,0.108
T8150_1,83.6,0.051
T8099_1,312.1,0.076
T8051_2,255.3,-0.053
T7891_1,22.3,0.208
T2346_2,281.7,0.061
T8159_1,88.4,0.018
T8119_1,154.5,-0.094
T8116_2,291.8,0.164
T14772_1,113.8,-0.204
T2312_2,338.4,0.17
T14641_2,322.2,0.346
L153_1,186.6,-0.087
T7907_1,315.5,0.44
T2224_1,82.6,0.095
T16934_1,47.1,0.533
T2224_2,301.0,0.396
T2336_2,39.8,0.557
T2376_2,303.6,0.036
T8133_1,81.4,0.009
T8133_2,188.1,-0.078
T8126_2,260.5,-0.071
T8174_2,271.1,0.002
T8174_1,102.7,-0.009
T8124_2,293.4,0.055
L155_2,339.4,0.522
L154_2,356.2,0.029
T8151_2,237.9,-0.301
T7907_2,311.0,0.411
AC195_1,25.2,0.816
T8156_2,307.4,0.125
T2333_2,181.9,-0.31
T2339_1,144.6,-0.23
T8068_2,264.3,-0.07
T2287_1,294.5,0.012
T2351_2,352.8,0.221
T8165_2,14.3,0.593
T2332_1,50.0,0.409
T2287_2,38.1,0.013
AC215_3,291.5,0.027
T8173_2,271.5,0.026
T8171_2,237.4,-0.059
T8111_2,243.8,-0.034
T8167_2,321.0,0.472
T8091_2,323.5,0.258
T8091_1,338.3,0.281
T2363_2,359.2,0.294
L155_3,340.1,0.019
T8107_1,349.9,0.368
T8159_2,161.3,-0.593
T2364_2,300.9,0.215
T2350_2,287.3,0.104
T2350_1,141.8,-0.097
T7891_2,263.1,-0.019
T8117_1,29.6,0.186
T8136_2,165.5,-0.289
T8183_1,107.2,-0.064
T2297_1,29.9,0.566
T8124_1,163.9,-0.095
T8167_1,136.3,-0.331
T8099_2,267.9,-0.009
T8150_2,103.1,-0.14
T2361_2,343.1,0.142
T2376_1,125.2,-0.084
T2597_1,212.3,-0.176
T8106_2,43.0,0.031
T8158_2,343.3,0.522
T8165_1,151.3,-0.542
T8129_1,161.9,-0.215
T2337_2,316.6,0.37
T2325_1,2.2,0.315
T8106_1,306.3,0.031
T2363_1,172.8,-0.37
T8156_1,233.3,-0.06
T2332_2,264.8,-0.032
T14641_1,10.0,0.443
T8164_1,243.8,-0.044
T2349_1,304.0,0.235
T8163_2,278.0,0.057
T8170_1,163.0,-0.062
T8172_2,196.4,-0.431
T8107_2,300.0,0.19
T2346_1,211.7,-0.378
T2337_1,74.1,0.2
T14760_1,92.6,-0.03
T8126_1,275.2,0.031
T8175_1,155.2,-0.579
T8175_2,183.3,-0.432
T8164_2,241.1,-0.033
T8095_2,281.6,0.044
T2353_2,265.8,-0.008
T2353_1,108.8,-0.009
L152_1,4.9,0.125
T14760_2,261.8,-0.068
T2351_1,206.4,-0.197
T2338_2,223.7,-0.259
T8118_1,358.9,0.188
T8142_1,32.0,0.096
T8142_2,284.5,0.035
T2336_1,93.6,-0.052
T8152_2,251.1,-0.16
T8205_2,329.6,0.044
T8121_1,348.1,0.028
T2361_1,119.2,-0.263
T8155_2,223.9,-0.394
T2375_2,54.1,0.004
T8121_2,311.7,0.032
T8180_2,217.8,-0.46
T2375_1,149.2,-0.191
T8180_1,118.8,-0.225
T2348_1,82.4,0.017
AC195_4,323.4,0.214
T8192_1,138.5,-0.167
T2297_2,232.6,-0.086
T2325_2,295.0,0.033
T8155_1,118.6,-0.229
T8192_2,191.9,-0.128
T2335_2,240.9,-0.064
T2335_1,356.1,0.075
T8171_1,130.6,-0.268
AC226_1,230.5,-0.042
T2360_2,304.5,0.292
T8131_2,240.3,-0.118
T8131_1,342.3,0.46
T14761_1,104.5,-0.186
T14761_2,283.2,0.082
T8197_1,136.3,-0.107
T8173_1,255.2,-0.036
T8163_1,115.3,-0.024
AC194_5,338.5,0.091
T2312_1,244.2,-0.096
T2362_1,352.2,0.552
L153_2,195.7,-0.337
T8095_1,21.7,0.112
T8207_1,262.0,-0.002
T8148_1,348.7,0.164
T8148_2,287.7,0.101
T2360_1,168.0,-0.478
L156_1,359.9,0.042
T17194_2,177.0,-0.018
T8176_1,15.4,0.379
T8082_2,331.6,0.174
L154_1,11.6,0.399
T8189_2,318.5,0.195
L156_2,292.3,0.041
T17194_1,153.0,-0.073
T8166_2,308.8,0.549
T8166_1,304.1,0.431
L157_1,28.5,0.077
T8082_1,21.1,0.164
L155_1,176.6,-0.526
T2359_2,326.6,0.438
T2357_2,271.2,0.013
T2358_2,314.5,0.279
T2357_1,205.7,-0.289
L158_2,344.8,0.633
T8183_2,106.0,-0.073
T8157_2,356.3,0.326
T8161_1,11.4,0.481
T2364_1,137.4,-0.417
T8176_2,218.0,-0.18
T2374_2,174.4,-0.088
AC194_2,341.9,0.148
T8201_1,106.4,-0.185
T8201_2,250.9,-0.244
T15821_2,237.4,-0.088
T2352_1,352.0,0.025
T8118_2,256.3,-0.096
T8207_2,180.0,-0.279
T8199_1,272.4,0.022
T8066_1,28.0,0.143
T8066_2,331.7,0.128
T8112_2,18.8,0.061
T8161_2,323.8,0.167
T16933_1,35.4,0.554
T8130_2,38.0,0.506
T8200_2,313.8,0.249
T8197_2,125.1,-0.214
T15480_1,15.5,0.733
T8158_1,203.8,-0.536
T2331_2,263.6,-0.041
T2356_2,299.8,0.363
L158_1,342.4,0.02
T2414_2,327.7,0.147
T14759_2,291.5,0.116
T14759_1,117.4,-0.31
T8172_1,156.5,-0.366
T2374_1,151.8,-0.203
T2349_2,274.0,0.026
AC226_2,186.0,-0.128
T2368_2,310.1,0.242
L163_3,224.9,-0.45
T8182_2,154.8,-0.185
T2362_2,192.5,-0.486
T2331_1,73.4,0.083
T8184_1,113.1,-0.154
T8184_2,285.5,0.081
T8205_1,165.9,-0.06
T2371_2,215.0,-0.355
T16933_2,261.3,-0.111
T8178_2,118.2,-0.04
T15821_1,160.4,-0.083
T8182_1,116.9,-0.132
T2347_1,174.4,-0.297
T2595_2,312.1,0.066
T2595_1,198.4,-0.134
T8212_1,299.8,0.257
T8178_1,123.2,-0.351
T8208_1,166.4,-0.106
T8208_2,285.2,0.034
T8203_2,285.0,0.118
T8203_1,105.1,-0.178
T8189_1,226.4,-0.146
T2348_2,241.6,-0.055
T8191_1,83.4,0.052
T8191_2,104.1,-0.078
T8169_1,299.6,0.359
T2371_1,141.1,-0.266
T2370_2,312.2,0.356
T2370_1,152.6,-0.278
T8130_1,96.0,-0.069
T8112_1,128.9,-0.061
T8202_1,21.1,0.062
T8212_2,323.7,0.318
T17479_2,268.5,-0.019
T17479_1,115.1,-0.19
T8157_1,337.4,0.143
T8196_2,179.4,-0.349
T15480_2,299.3,0.277
T8226_2,301.3,0.362
T8214_2,60.5,0.11
T2359_1,199.6,-0.317
T2596_2,9.0,0.029
T8127_2,104.8,-0.045
AC412_1,62.0,0.177
T8210_2,307.8,0.521
T8234_1,109.7,-0.033
T8196_1,187.6,-0.39
T8127_1,83.4,0.003
T8181_1,294.7,0.285
T8134_1,54.8,0.261
T8202_2,168.8,-0.209
T8209_2,152.9,-0.164
T8209_1,70.7,0.14
L159_2,222.1,-0.021
L160_1,4.8,0.085
T8240_1,329.1,0.173
T8188_2,305.9,0.097
L159_3,283.2,0.05
T8218_1,174.8,-0.346
T8218_2,319.7,0.239
T8224_2,219.3,-0.129
T8224_1,177.1,-0.496
AC412_3,13.4,0.226
T2358_1,170.2,-0.368
L158_3,209.0,-0.533
T8181_2,282.8,0.101
T8109_1,359.5,0.035
T8109_2,340.3,0.094
T8246_2,335.3,0.053
AC226_3,239.7,-0.125
T2369_2,331.7,0.284
T8242_2,342.6,0.052
T8233_2,345.4,0.652
T8188_1,284.2,0.044
T2330_2,294.1,0.112
T2330_1,21.0,0.279
L157_2,112.7,-0.06
T8219_2,65.9,0.097
T8230_1,75.3,0.044
T8199_2,235.9,-0.127
T2596_1,156.5,-0.163
T8169_2,275.0,0.058
T8177_2,313.3,0.514
T8177_1,326.7,0.644
T8231_2,224.6,-0.399
T8185_1,344.3,0.785
T8225_1,349.3,0.237
L168_2,341.1,0.595
T2414_1,191.3,-0.194
T2352_2,185.2,-0.107
AC414_3,269.5,-0.003
L161_1,186.3,-0.05
T2442_2,266.4,-0.007
T8226_1,283.3,0.124
T2356_1,297.7,0.17
T8251_2,177.3,-0.039
AC416_3,310.2,0.205
T2347_2,306.0,0.152
T8251_1,242.5,-0.037
T8253_1,118.8,-0.022
T8206_2,300.2,0.225
T8200_1,229.5,-0.139
T8186_2,307.9,0.483
T8235_1,87.6,0.019
T2415_2,308.5,0.153
T8211_1,277.1,0.051
L159_1,319.5,0.146
T8230_2,182.8,-0.34
T16932_2,278.5,0.111
T16932_1,84.2,0.079
T8215_2,1.8,0.136
T8222_2,273.1,0.007
T8110_1,328.3,0.317
T8225_2,232.2,-0.17
T2368_1,232.7,-0.103
L162_1,19.4,0.035
T2405_2,325.3,0.482
T8149_1,290.0,0.226
T8240_2,262.1,-0.033
T8222_1,269.3,-0.001
L163_2,89.4,0.001
T8217_2,250.2,-0.039
T8246_1,135.6,-0.031
T8216_1,154.3,-0.555
T8216_2,254.9,-0.174
T16006_2,186.6,-0.053
L164_2,55.7,0.017
T2415_1,146.2,-0.197
L164_3,222.8,-0.224
T8233_1,313.4,0.236
AC414_2,342.6,0.172
T15990_2,25.2,0.691
T8193_1,189.3,-0.049
T8193_2,282.8,0.014
T8231_1,175.8,-0.376
AC412_2,177.5,-0.148
T8214_1,164.8,-0.216
T8234_2,105.7,-0.019
T8162_1,336.2,0.146
T14758_2,300.9,0.165
T8134_2,94.1,-0.034
T8210_1,304.3,0.281
T8235_2,182.7,-0.257
T8229_2,272.1,0.016
T8140_1,35.7,0.16
T15820_2,252.2,-0.03
L160_2,310.4,0.151
T2441_2,286.5,0.09
T2367_1,82.3,0.095
AC414_1,93.6,-0.02
T8261_2,113.7,-0.022
T8261_1,111.2,-0.019
T8262_1,89.2,0.001
T8149_2,247.8,-0.282
T8262_2,177.5,-0.05
T8263_1,338.2,0.083
T8204_2,329.8,0.087
L165_3,303.1,0.124
T8237_2,310.9,0.253
T8237_1,199.1,-0.222
T8204_1,121.3,-0.023
T8215_1,222.7,-0.021
T8242_1,28.0,0.092
AC226_5,209.6,-0.086
T2369_1,153.9,-0.525
T8229_1,226.0,-0.351
T2442_1,71.1,0.006
AC196_4,27.0,0.72
T8179_2,328.1,0.626
T8179_1,18.7,0.717
L165_2,0.4,0.064
T15986_2,46.3,0.588
T15820_1,182.3,-0.136
T8232_2,274.7,0.032
T8232_1,277.0,0.002
T8187_2,301.1,0.29
T8185_2,265.8,-0.052
T2508_1,59.4,0.03
T8256_1,313.7,0.113
T8223_1,310.3,0.144
T8219_1,99.2,-0.024
T8187_1,43.1,0.546
T15990_1,106.4,-0.197
T8223_2,272.3,0.012
AC194_4,299.4,0.246
T8190_1,325.4,0.445
T2385_1,175.5,-0.107
T8194_2,347.3,0.203
T15986_1,108.5,-0.212
T2387_1,32.1,0.161
T8198_2,308.9,0.101
T8110_2,311.7,0.403
AC196_1,49.9,0.597
T8220_1,37.6,0.642
T8220_2,254.4,-0.246
T2441_1,39.7,0.007
L161_2,178.7,-0.333
T8211_2,282.4,0.089
T2354_2,353.6,0.302
T2487_2,287.8,0.083
T8194_1,72.8,0.045
L164_1,96.2,-0.036
T2405_1,138.6,-0.288
T14758_1,144.8,-0.406
L166_1,0.5,0.335
T8195_1,18.0,0.319
T8253_2,178.0,-0.104
L166_2,145.5,-0.014
T8186_1,255.8,-0.177
T2367_2,199.7,-0.792
AC195_2,240.0,-0.238
T2387_2,207.2,-0.219
T2394_2,326.9,0.307
T2384_2,273.3,0.018
AC195_3,265.4,-0.01
T2394_1,250.4,-0.131
T8140_2,277.0,0.038
T2508_2,190.7,-0.015
T2383_2,277.8,0.08
T2366_1,286.8,0.205
L162_2,173.2,-0.101
AC215_2,244.1,-0.084
T8249_2,312.6,0.199
T8270_1,105.0,-0.048
T8206_1,208.5,-0.177
AC197_1,2.5,0.542
T2345_1,70.4,0.232
T2345_2,325.9,0.489
L163_1,133.2,-0.104
T8228_2,167.5,-0.282
T17092_2,296.4,0.155
T15819_2,182.8,-0.473
T15819_1,162.5,-0.241
T8241_2,258.6,-0.077
T8255_1,73.1,0.063
T8248_2,343.5,0.411
T2354_1,120.9,-0.138
T8250_2,283.7,0.022
T8250_1,339.4,0.113
T8221_1,332.5,0.206
T15987_2,44.0,0.514
T8137_1,34.0,0.671
T16006_1,336.7,0.168
T2366_2,287.0,0.198
T8137_2,341.6,0.642
T8254_2,308.5,0.527
T8265_1,241.4,-0.245
T8256_2,203.0,-0.075
T2385_2,329.3,0.115
T8241_1,255.7,-0.117
T2384_1,297.6,0.114
T16008_1,117.0,-0.012
T2283_1,115.9,-0.097
T8255_2,257.0,-0.035
L168_1,31.3,0.084
AC194_1,20.4,0.101
AC204_2,262.4,-0.01
T8257_2,272.5,0.004
T8228_1,93.9,-0.044
L165_1,92.9,-0.003
T8257_1,262.6,-0.029
T8263_2,168.9,-0.075
L168_5,307.4,0.442
T8273_1,27.8,0.223
T8249_1,150.8,-0.252
T8168_1,139.3,-0.274
T8198_1,86.4,0.016
T2390_2,272.7,0.02
T8162_2,275.3,0.028
T8195_2,215.1,-0.233
L167_1,264.1,-0.006
T8273_2,126.3,-0.28
T8282_1,65.8,0.031
T8282_2,126.8,-0.03
T8276_1,310.9,0.533
T8213_1,305.2,0.38
T16931_2,260.3,-0.121
L168_3,254.6,-0.008
T2487_1,183.6,-0.163
T2383_1,221.1,-0.314
T17480_2,301.1,0.363
T8267_1,348.2,0.564
T16931_1,53.7,0.495
T8190_2,260.6,-0.11
T2401_1,317.9,0.277
T8268_2,185.8,-0.209
T8258_2,221.5,-0.286
T8258_1,223.0,-0.152
T8270_2,178.7,-0.373
T2283_2,154.8,-0.17
T2393_2,288.2,0.195
T8272_2,163.2,-0.281
T2396_2,293.7,0.05
T8160_1,111.3,-0.187
T17092_1,130.0,-0.24
T15987_1,90.5,-0.006
T8272_1,123.8,-0.269
T8217_1,199.8,-0.118
T8254_1,259.9,-0.111
T8168_2,241.9,-0.014
T2389_1,307.6,0.121
T8160_2,261.3,-0.048
L166_3,243.9,-0.152
T8265_2,213.5,-0.196
T2390_1,200.9,-0.35
T8284_1,150.4,-0.044
T8284_2,267.3,-0.005
T2395_2,288.8,0.211
T8247_1,305.5,0.429
T15988_2,318.8,0.37
T15474_1,20.1,0.691
T15988_1,69.8,0.186
T8221_2,238.6,-0.232
T14747_2,289.1,0.099
T8268_1,86.8,0.009
T2393_1,172.0,-0.56
T2397_1,309.0,0.441
T8275_2,290.4,0.231
T8252_1,153.5,-0.167
T2381_2,350.6,0.27
