BID,asp,af
AC167_6,308.4,0.239
T1133_2,227.0,-0.396
T6036_2,276.4,0.054
AC125_3,305.0,0.251
T1134_2,210.0,-0.611
T1119_1,320.3,0.463
AC124_1,294.2,0.307
T1134_1,152.8,-0.574
T1119_2,302.9,0.239
T6039_2,313.0,0.526
T1126_2,269.8,-0.003
T1140_2,207.8,-0.632
T1126_1,329.8,0.407
T1125_2,332.8,0.556
T1125_1,41.7,0.523
AC125_2,245.1,-0.122
T6039_1,268.8,-0.014
T6038_1,128.4,-0.277
T6038_2,118.8,-0.301
T1097_2,302.1,0.28
T1127_1,4.2,0.37
AC167_4,176.2,-0.114
T1092_1,25.1,0.535
AC131_3,325.3,0.554
T1092_2,298.0,0.183
AC167_3,191.6,-0.129
T1127_2,299.6,0.367
AC166_2,100.0,-0.164
T6032_2,285.6,0.192
T6032_1,320.9,0.398
AC125_1,250.6,-0.08
T1135_2,167.9,-0.781
T1140_1,123.3,-0.377
AC130_3,309.7,0.154
T6042_2,314.7,0.358
T1097_1,57.2,0.321
T6041_1,336.0,0.569
T6035_1,38.6,0.551
T1135_1,161.1,-0.742
T1139_1,115.1,-0.208
T1133_1,174.6,-0.708
AC131_1,295.9,0.106
T1132_1,21.6,0.813
AC126_4,301.1,0.141
T1132_2,296.2,0.304
AC126_1,30.3,0.461
AC164_1,343.0,0.615
AC130_2,283.6,0.073
T6047_2,220.0,-0.537
AC189_3,333.3,0.168
T1143_1,8.2,0.265
AC129_4,297.6,0.151
T6043_2,187.6,-0.517
AC126_2,299.0,0.131
T6043_1,176.8,-0.511
AC166_1,112.3,-0.197
T1144_2,335.9,0.617
T6042_1,306.4,0.314
AC189_1,66.8,0.109
AC189_4,260.0,-0.16
T1145_1,350.7,0.713
T1139_2,171.1,-0.485
AC129_1,177.0,-0.444
AC189_2,31.7,0.178
T6047_1,161.6,-0.655
T15391_1,23.9,0.528
T1121_2,337.6,0.309
AC126_3,230.5,-0.413
AC128_1,337.8,0.303
T6041_2,277.0,0.059
T1147_1,140.7,-0.366
AC124_4,314.3,0.516
AC123_1,345.2,0.811
T1142_2,214.2,-0.543
T1142_1,158.9,-0.563
T1106_1,27.4,0.516
T1145_2,217.6,-0.171
T1121_1,57.6,0.331
AC129_3,235.0,-0.187
T1143_2,276.1,0.021
AC129_2,182.0,-0.31
T1106_2,351.6,0.233
T6049_1,247.3,-0.08
T1141_1,334.8,0.215
T1141_2,262.2,-0.036
AC124_3,235.2,-0.17
T6035_2,276.3,0.074
T6049_2,220.7,-0.333
T1136_2,330.6,0.348
T6046_1,329.7,0.498
T6046_2,286.3,0.158
T6045_2,327.3,0.285
T1111_1,315.8,0.302
T6045_1,342.7,0.551
T15391_2,235.8,-0.336
T1146_1,176.9,-0.752
T1111_2,316.9,0.316
